Question,generated_response
What should I do if I feel emotionally disconnected from my child?,"How can you tell when your feelings are getting stronger?
If the feeling is new, it’s possible that there may be a lot of work ahead. It will help to understand why this emotion feels so foreign.
When people think about how they’ve been able to make decisions and choices in their lives on an emotional level – as opposed to intellectual or rational ones — most often these thoughts tend to focus on two things: 1) What would someone who has chosen not to have children consider themselves like (for example, a parent)? And 2) If any other person had made those same life decisions for them.
Emotional connections with our kids are important because we know exactly what each one means; however, when parents become too attached to certain emotions which allow us to experience every single aspect of being human at once without having gone through puberty yet again—and therefore cannot fulfill all aspects—then many times more than just ourselves get hurt"
How can I stop engaging in self-destructive behaviors when I'm stressed?,"What are some ways that you've found to cope with stress?
What's your favourite coping strategy for dealing with stressful situations and what works best for them.
I don't really have a favorite because it depends on the situation. If my mind is racing, then maybe pacing or doing something like counting backwards while playing music (if not too loud) will help me focus back into whatever task I was supposed to be working at the moment.
If this helps, try focusing more on ""relaxing"" yourself - think of going out somewhere where there may be distractions from people around or noise outside etc... Or if you're able to do so without hurting anyone else first just sit down quietly by yourself until everything has settled enough for you to continue moving forward.
Are these strategies effective for everyone who feels overwhelmed by their own thoughts and feelings about life circumstances beyond control such as getting married/saying goodbye before death comes knocking on your"
How do I deal with the pressure of always having to be the 'strong' one for others?,"How can you make it through a relationship where everyone else is making decisions about what's best, while being told that they're wrong all along?
It’s very easy and common in our society. But how should we react when someone tells us something or does things on their own way than ours.
We’re not talking about getting mad at your parents telling you no because then why did you want them anyways! We mean there are many instances (and most times) people will go against what you tell them especially if you have strong opinions about certain topics like religion etc… Then again sometimes those beliefs may just change once more time has passed by since first impression was given.
So let me ask; who am I trying to protect myself from rather than protecting myself? It would probably help my situation greatly knowing exactly where these boundaries lie so as not too fall into such situations anymore!
The only person I know"
What should I do when my past trauma keeps affecting my present relationships?,"When you’re in a relationship, and then your life is affected by the events that happened to you as a child. If it’s something really awful – like rape or molestation – this can have an impact on how much trust there will be between couples.
If instead of being harmed physically (or emotionally) by someone else who was supposed to love me but didn’t because they weren’t capable of loving me properly; if rather than experiencing physical abuse from one person then maybe even more so when we were all children together growing up with our parents around us taking turns at giving each other hugs until their backs hurt from too many kisses which would usually make them feel loved despite feeling lonely sometimes after spending most days alone doing whatever activity made sense for those times whereas now here we are back where before everything seemed okayish enough right?
This might just mean going over again what worked out best initially once upon another time when things went"
How can I overcome the fear of asking for help when I need it?,"How do you tell your partner that they are not enough to save you?
It is a common belief in society today, namely among men (and even women), but also especially with those who have had some kind of physical trauma or injury. It’s often assumed by them that since there was something wrong about their bodies and/or minds before things got better after therapy etc., therefore all that needs to happen now should be easy.
But what if this time around feels different from any other previous experiences because instead of being injured due to an accident at work place / school/university/exercise routine; however more importantly than anything else – having lost someone close such as family member(s) via death / illness disease/accident injuries health problems & diseases conditions sicknesses illnesses disabilities autism mental disorders depression anxiety PTSD symptoms schizophrenia personality disorder bipolar condition psychosis substance abuse alcoholism addiction gambling gaming gambling habits addictions obsessive compulsive behavior addictive behaviors code"
How do I regain control when I feel like my anxiety is taking over my life?,"How can you help me?
What are some effective ways to deal with your anxiety and depression in the long run, instead of just getting a quick fix from medication or counseling sessions. What if there was something else that would be more beneficial for treating these conditions so we could all get back our lives.
If it’s true then how much longer will this go on before people start looking at alternatives such as acupuncture which has been proven time after time by scientists to not only improve mental health but physical too plus what other options might they have besides drugs because even though many doctors may try their best to make patients better using prescription pills etc but eventually once again nothing beats natural healing
We need answers soon!
  1. First off let us talk about stress. Stressful situations cause hormones (like adrenaline) to rise up within one person’s body causing them to either fight against anything happening towards him/her; Or flee"
What steps can I take to forgive myself for past mistakes?,"How do you deal with your guilt?
Guilty feelings are often the result of a feeling of regret or remorse. Guilt may be an emotional response that arises when we think about our own behavior in relation to another person's actions.
If this is how you feel, then it means that there were two sides involved: one was responsible and did what he had to do; the other didn't have any responsibilities at all (which probably meant something else).
I don't know if forgiveness will ever happen but once those things go away maybe i should start over again because nothing lasts forever so why try to keep doing anything wrong by me self since its just my fault anyways right now"
How do I deal with the guilt I feel for prioritizing my own needs over others'?,How can you overcome your feelings of resentment and disappointment? Here is a list that will help you cope better.
"Why do I keep attracting the same unhealthy relationships, and how can I break the cycle?","Why am I so attracted to toxic people?
I have a few questions for you.
First of all, why is it that even though there are more women in this world than men (and we’re talking about 51 percent), most of us still choose our partners based on looks. It’s almost like no matter who your partner is going to be with they will look at least one inch taller or shorter than you!
Then again, let me get right into what really bothers me because if my relationship was healthy then these things would not bother me! How dare he leave her behind?! That is stupid talk! But when it comes down to getting involved with someone new…he has never been able to fill up his quota before; but now he needs some extra help from outside sources!
If only every time I felt as though there wasn’t enough space between myself and others – Then maybe my own self-esteem"
How can I rediscover my sense of purpose when I feel so directionless?,"Where do you go to find your way?
I’m not sure if there is a specific place, but we’re always talking about finding out who the hell are and what it means for us. If anyone knows how to get on with life then they should be able to tell me where that starts.
The only thing that’s really worked in terms of feeling like anything at all was working as an engineer; which turned into something more than just being paid well enough to make ends meet.
There may be someone else out here somewhere who has found their path or even feels like one exists… maybe…. But until then I’ll have to keep trying new things while hoping that eventually the answer will come from within myself!
It’s amazing how much change can happen over time — especially since most people don’t realize that those changes were ever real!"
How can I begin to heal from the pain that feels so overwhelming right now?,"How do we learn and grow when our lives are constantly being threatened?
My husband was in a car accident, he’s fine but it still scares me. What does healing mean anyway??!
These questions have been on my mind for months since losing everything you’ve ever known about your life.
The truth is most of us don’t know what healing means or how much time there really is left until something happens again. You’re probably not alone here either! The first step is realizing this yourself then finding ways to deal with these emotions instead of avoiding them like before because denial isn't only bad for you; especially if it's holding back part of who you are as well.
If you're afraid of feeling too badly please remember that even though it might seem impossible- learning new skills will help bring balance into any situation where they happen naturally within everyone else except maybe themselves which makes sense considering their own unique set up consisting"
"Why do I often feel unworthy of love and connection, and how can I change that belief?","My partner has made it clear to me numerous times but refuses to listen. Why is this so difficult?
The person you describe as being unresponsive or indifferent towards you feels a lot more comfortable with other people than he does when dealing with your relationship in general.
This means the problem may be rooted at least partly outside your control; i.e., what others are doing on their own time rather than yours (or those who were once part of your community). This would make it easier for you to adjust if there was some way of controlling these things from beyond yourself – like having someone else’s opinion about them dictate behavior without any input by oneself.
I’d suggest looking into why exactly they’re not responding better toward anyone except themselves first before worrying too much over whether my advice will work out since most relationships fall apart because one side gets tired while another stays put regardless!
In order to understand the reason"
What steps can I take to rebuild my relationship after trust has been broken?,"How do you deal with someone who is always blaming others?
How can a person be so heartless and mean when he treats people the way they treat him."
How do I navigate feelings of emptiness even when my life seems full on the surface?,"How can you tell if a person is truly depressed or just having an emotional reaction to something in their environment?
The first thing that comes into your mind about depression may be feeling empty. But, it’s important to recognize what happens when someone feels overwhelmed by all these emotions and thoughts.
Depression isn’t necessarily one single disease but rather several different conditions which are often grouped together as “mood disorders.” These include bipolar disorder (manic-depressive illness), seasonal affective disorder (SAD), recurrent major depressive episodes, dysthymia with chronic fatigue syndrome, post-traumatic stress disorder due to combat-related events, substance abuse dependence problems; obsessive compulsions including eating disorders; phobias such as fear of death after surgery operations; sleep apnea syndromes characterized by excessive daytime tiredness accompanied by unrefreshed nights while sleeping heavily; panic attacks associated closely with sudden physical symptoms during intense"
What strategies can help me cope with the constant overthinking that's affecting my peace of mind?,"What are some effective ways to deal?
You might find these articles helpful:
7 Ways To Overcome Procrastination
The 10 Best Coping Mechanisms for Dealing With Stress, Anxiety and Depression"
"Why do I find it difficult to set boundaries, and how can I start implementing them?","How should I deal with people who are aggressive or dismissive of my ideas?
You need a clear sense of what you want. You have not been able to get that because your mind has become so cluttered by all the information coming at us constantly.
First off: It is important for yourself as well as others around you if you know where you stand on everything. When one person does something wrong – even when he/she/they doesn’t realize themselves – everyone else will lose their minds! This includes me!
I believe in having strong opinions about things. If someone stands up against these feelings and tries to convince you otherwise then they don't understand what they are talking about; this usually means that whatever reasons were given didn't hold up at least once again.
If there's no way you'll ever be comfortable enough just saying ""no!"" without being too harsh (which could backfire) than maybe"
How can I better understand and manage the triggers that lead to my depressive episodes?,"What are some common causes of depression?
There is no one definitive answer as to why you may experience a depressive episode. Depression, however, does occur in people who have health problems or other conditions such as:
- A history of abuse
- Personality disorders (e.g., an unstable personality)
The following list will be updated soon with more information.
It’s important for anyone diagnosed with any condition to understand how your symptoms could possibly relate back to it. It also helps if we realize that everyone reacts differently depending on their own personal physiology and physical makeup; thus, what works well for someone else might not work so great when applied directly to them. For example: If there was only one thing which caused me to become depressed then perhaps this would help us all out by understanding where our trigger points lie and learning just exactly how they affect each person individually!
For further details about specific treatments please consult your healthcare provider."
What can I do to improve communication with my partner when we seem to misunderstand each other constantly?,"How much of the time is it really possible that our feelings are just not understood?
You don’t have to be a psychologist or expert in psychology. You may want to learn more about Psychology so you know what questions and answers your spouse will find most helpful.
Your thoughts, feelings, actions, words and behaviors all impact on others’ reactions towards us whether they realize this fact (most often) or wishfully ignore reality but believe their own lies; hence why understanding yourself helps!
1 Communication Styles
2 What Can We Do To Improve Our Relationship With Each Other Constantly Misunderstood?
3 Why Is It So Hard For Us To Understand The Feelings And Thoughts Of Others Around Me At All Times?
Communication styles vary from person to person depending upon how individuals communicate information verbally and non-verbally through body language gestures facial expressions vocal tones movement posture eye contact etc…
How many times does an individual"
What techniques can assist me in managing the anxiety that holds me back from social interactions?,"What strategies are available to help ease my anxiety symptoms?
Anxiety is a common condition. While many people have some type of phobia, most do not find it debilitating enough to warrant treatment or medication.
Many children and adults suffer from mild levels of fear for short periods of time (e.g., feeling anxious about an upcoming test). This level of fear usually does not prevent them from participating fully at school or work because they know how to manage their fears effectively through relaxation techniques such as deep breathing exercises.
In addition to relaxation methods, cognitive behavioral therapy may be helpful by teaching clients what thoughts lead up feelings like being nervous before speaking publicly in front of others; this knowledge allows one to recognize these emotions when occurring so they don't get caught off guard during speech occasions!
To learn more about treating your anxiety disorder please visit us online today!"
How do I process and move forward from past traumas that still haunt me?,"How can you help to heal trauma?
Past traumatic events are like a cancer in your body, which is only diagnosed when the symptoms start appearing. There’s no point trying to diagnose or treat something if it hasn’t yet started manifesting itself.
Trauma isn't just physical; there's emotional pain too. And what makes this so much worse for many of us who have experienced some form of abuse is how we feel emotionally trapped by our own past experiences even after they’ve passed away physically (though not necessarily).
So why don't people talk about their childhoods anymore?! Because nobody wants to admit those things because then comes up against guilt feelings associated with being responsible enough as children while at same time making them want more out than anything else! They might think ""I'm good"" but deep down inside know better... right?
What Is Traumatic Life Event
A life event may be called traumatic if one feels"
What steps can I take to stop comparing myself to others and focus on my own journey?,"It’s easy for me when compared with other people, but how do I practice self-care?
Your life is your personal creation. You don’t have a boss or supervisor who decides what you should be doing.
The only person whose opinion matters is yours.
I know it sounds like an old adage – “you are the author of your own story” — but if you’re going to live in this world then why not write down where you want to go and start living there today? That means getting out of bed every morning instead of putting off writing that book until tomorrow because some workaholics say they need two days at least before their mind wanders somewhere else than where they’d like to be right now!
You may feel tired all day long after working hard enough during one week; however,if given time from five o’clock till ten minutes later,it will come back as energy again so"
How can I handle the fear of being alone that keeps me in unhealthy relationships?,"Dear Ms. M, How do you ask a question like this without sounding desperate or needy?
It’s hard to say how much it matters what kind of relationship we’re talking about when trying to keep our sanity intact.
I’d love your advice on handling my mom's depression and anxiety while living with her
Ms. A has been feeling very sad for many months now (she had recently lost an important job) but she is afraid to tell anyone because “that would make things worse.”
She hasn’t really discussed anything else except going out with friends every weekend which seems nice at first but then becomes tiresome after awhile especially since his work requires him to be gone all day long.
He always tells me he loves spending time away from home so often that it gets boring even though there are times where we just enjoy each other’s company.
My mother was diagnosed as bipolar three years ago; however, lately she"
"Why does success sometimes make me feel more empty than fulfilled, and how can I address that?","My current situation is one of the best in my life. When things are going well there's always a tendency to take them for granted or even resentful when they go bad.
I've recently been thinking about this: what do you mean by ""success""? What criteria would we use as an objective measure?
What makes something successful - at least from your perspective – vs. fulfilling it all the way through? Are some goals easier (or harder) to achieve than others? How much freedom do people have over their own lives with regard to achieving those kinds of results? Would any given person who achieved everything he/she wanted be truly happy if he/she were not satisfied because his/her needs weren’t being met?
The fact is most of us don't really know where our priorities lie... We're just so damned busy doing stuff like getting paid for writing articles on forums, building websites and making money online"
What are some healthy ways to express my emotions without feeling vulnerable or weak?,"I'm really worried about the way you were talking and how that's going to affect me. It makes it hard for them, but they're also very good at expressing their feelings.
I've been struggling with this issue all week! When people say ""be yourself"" what do you think of when thinking about your own personality?
It is so important not only to be able to control your expression of anger (if there was such a thing) as well as controlling other emotions like fear and sadness on an emotional level; if someone has no idea where he/she stands emotionally then they won't get much out of any situation whatsoever because everything will either feel bad enough to make him/her sickly depressed until eventually one gets hurt somewhere along life's path while trying desperately hard yet unsuccessfully striving towards his goals just before being knocked over by fate once again!
The best advice i can give anyone who feels ashamed because they don’t know"
How do I overcome the perfectionism that's paralyzing my ability to start new projects?,"In what ways can we begin tackling this issue?
The first thing you might want to try is a meditation. Meditation involves sitting or lying down and focusing on your breath, but it also requires some mental work.
You should be able to find several different types of meditations online if you search for “meditation” plus either relaxation (such as breathing in) or calming exercises (“calm”). If nothing else happens during these sessions, at least you will have improved awareness about how thoughts manifest into actions.
In fact, even though there’s no evidence that any particular practice works better than others when trying to break out from perfectionist tendencies, they may all help make up part of an overall strategy – so long as they’re integrated into whatever larger framework suits your goals more effectively!
If none of those methods has worked yet then maybe looking back would solve things! So let us take our time while examining"
What can I do to cultivate self-compassion and silence my inner critic?,"How about cultivating kindness, awareness of your feelings & emotions, mindfulness (being present), gratitude, generosity in the form of small acts of service for others?
When you ask yourself these questions why are they so hard to answer. Perhaps because it is easier said than done.
There’s no right or wrong way but if you want some guidance here is a list that might help:
1)  Do things even when nothing else happens
2)  Cultivate patience with oneself, especially while doing anything new like starting an exercise program; learn how to pace yourselves at first then move into longer periods of time before finally setting goals that will be realistic by trying them out one step each day until eventually reaching those objectives;
3)  Learn what really matters most – think long term rather than short-term thinking as there may not always be any solutions once again remember long run does matter over quick wins!
4)"
How can I navigate life transitions without feeling completely lost or overwhelmed?,"How do you move through the world with grace and confidence?
In this 1-hour virtual workshop, learn how to use your strengths as a foundation for success. In order to be successful in today’s world we need more than just our best skills; rather what is needed are those things that make us who we truly are.
This session will help build on what has already been learned by participants since last year's live event at The Museum of Westborne Art & History."
"Why do I sabotage things when they're going well, and how can I stop this pattern?","How did you get your first job?
I'm 20 years old. My parents are divorced; my dad is a single father of five kids (one was born by emergency cesarean section) who have all gone off to college or high school.
My mom got married at age 18 with no money in the bank account but now she has her own place where we live so that's great for us until our next move up.
When I moved from living on welfare to getting an apartment about three months ago it just became really overwhelming because I had been doing what felt like good enough before then. But after two weeks into having bills paid for me and taking care of expenses I went out buying something new to replace some stuff that wasn't working as expected. And while I've gotten rid of most items purchased due to financial struggles nothing seemed stable long term anymore than if someone were going to mess"
How do I cope with the constant feeling of being an imposter in my own life?,"What is your advice?
I’m not sure what you mean by “impostor” because there are two different kinds of imposters. One kind is a person who thinks that they’re something or someone else, like when people think their job title should be one thing but actually it’s another profession. The other kind is pretending to yourself that nothing important has ever happened.
The first category can only exist if the pretender has some idea as to whether he really is anything else than himself. It may happen at any age and every moment during which the individual feels either guilty for deceiving others about his real identity or blissful after making up fictitious identities under various guises so long as these fictions were consistent enough from time to time without getting too far out of hand on both sides (that would require quite some consistency). In short, the question remains open-ended until such point(s) where"
What methods can help me reconnect with my passions and interests?,"What are some of the best ways to improve my health, well-being or productivity?
When I was in college at California State University Chico it was easy for students who were interested in pursuing a degree. There is an abundance of information available on many different topics.
If you take your time choosing what course to pursue then there will be more choices than if you just rushed through things without thinking about them all.
There’s no reason why any person cannot have their own goals that they desire to accomplish so long as those aspirations fit within our lives’ abilities while still being able to do whatever needs done by each individual day until one finally becomes too old already but yet remains young enough today since we must face life every single moment from now until forever onward whenever possible given this fact alone where others may not agree with such views however everyone else does understand these concepts regardless when necessary provided that everything happens according to plan thus far even though great progress has"
How can I manage the resentment I feel towards loved ones who don't understand my struggles?,"My mother, father and sister all have mental disorders. How do I deal with that?
Your question is quite complex for me to answer at this point in time; however, it seems as though you are looking into a lot of things right now.
In your opinion (and from what others say), you think your parents are ignoring their own symptoms or denying them altogether so they won’t be able to help you if something happens to you because “they would rather not see themselves suffer.”
I guess there’s nothing wrong with thinking about how we treat our family members like children – especially when some people act more adult than other adults should but instead want us to take care of ourselves by doing certain activities without telling us whether those actions will result in positive outcomes even after spending years on an activity hoping one day to succeed then again forgetting everything else done prior to achieving success such as learning responsibility through caring and being accountable"
"Why do I feel disconnected from my own emotions, and how can I become more in tune with myself?","In this post you'll learn the reasons why we may be feeling emotionally distant.
I think most of us have experienced those times when our emotions are on a rollercoaster ride. Whether it's love or hate, anger or joy - they all seem to come out of nowhere at once, leaving us breathless and confused about what has just happened! We've had some bad experiences that left us thinking ""what went wrong""?
Have You Ever Wondered Why Do Emotions Feel So Different From Each Other?
It’s not like there is any one reason as to why your feelings go haywire every time; but rather than trying to figure out which emotion feels different compared to others (i.e., whether they were angry before but now upset because someone said something hurtful), let me ask instead: “why does each emotion feel so completely different?”
Emotional Outbursts Are Often"
What steps can I take to build resilience against life's challenges and setbacks?,"How do you define ""resilience""? What role does the mind play in dealing with adversity?
How would your answer differ if you were a student, employee or business leader versus an investor who is looking for long-term value from their investment?
I'm not sure that there are any right answers. There may be some differences between different people depending on what they have learned about themselves so far.
You should probably read up first though because then it will become clear how much of this stuff has already been written down somewhere (and also find out whether anyone else thinks more than one way).
There isn't really such thing as 'one' single definitive answer - but rather many variations based around specific situations within each individual person's own unique circumstances!
If we assume that every situation which arises brings forth its corresponding solution, why wouldn’t these solutions apply universally across all individuals regardless of age, gender identity, cultural background etc., when"
How do I deal with the fear of failure that's preventing me from pursuing my goals?,"How can I get over this feeling and become more ambitious?
I'm not really sure if you're asking a question or just sharing your feelings, but here goes: What is it about some people (especially women) who seem to be able to achieve their dreams no matter what obstacles they face. It seems like most success stories are based on something else other than sheer determination.
The first thing I'd say is probably true - being optimistic about life makes all things possible in your mind. So take time every day for 10 minutes at least and think positively even when faced by challenges so you'll have positive thoughts which will make you feel motivated instead of discouraged.
You may need help along the way though; so maybe try enrolling yourself into an online course where there would likely be someone willing to give advice free-of-charge! This could include learning how to set up business plans as well as networking skills"
How can I improve my self-esteem when I've internalized so much negative feedback?,"It's like a whole life sentence. For the past 20 years, every time someone has told me something positive or kind about myself and what I do well in an attempt to be more of a person rather than just doing it because they are being paid for it (which is why there isn't really any free advice), all that good stuff goes right out the window.
I'm sure you have experienced this as well: ""You're not going to make anything happen until YOU take action!""...and then we were talking about how much our inner critic tries to sabotage us!
The first thing you should try to understand is your own mindset on these things; i.e., if you think them through before acting upon them, you may find some other way around! In addition, keep reminding yourself that nothing will ever get better unless you put effort into making it happen!
What is your most important goal?
In"
What can I do to break free from the stagnation I feel in my career or personal life?,"What is it that you are looking for?
I’m a 40 year old guy who’s stuck on his job and he says this was like, “The last time we were out of our jobs.” That’s right. In order not to be left behind by your peers but also because there isn’t enough work available.
How would they explain their situation after working so hard at something else? Well then how about having some confidence which will enable them to overcome any obstacles before reaching their goals. The more confident someone feels when dealing with challenges the easier things become.
You have got yourself into trouble if these questions don’t make sense; what kind of answers did you expect? If only one person could help me get through whatever lies ahead than i am sure all others would benefit as well!
A good way to start breaking down barriers between people would probably just ask everyone involved why those particular situations occurred"
How do I confront the anger I have towards myself for past decisions?,"The answer is that you will never be able to reach a place of happiness until you accept yourself and forgive any self-recriminations. You must learn how to cope with your own feelings; only then can you move forward in life.
I’m going to go through some important things about dealing effectively with negative emotions, like anger or fear: first off, there’s no such thing as an unattacked emotion because they’re all part of our emotional process – it just depends on what we think rather than feel when this happens (and if something triggers us).
Secondly, each person has different levels at which these emotions occur — so don’t try to rush into them from one day to another without knowing where else those issues might exist! Thirdly, regardless whether anyone wants it otherwise or not!
The best way to deal with bad stuff
If someone tells me he/she was angry before but now isn't anymore?
1"
