client,therapist
What makes a healthy marriage last?,A healthy marriage lasts because both partners are committed to making it work. They are both willing to compromise and to make sacrifices for the sake of the relationship. They also have a strong friendship and mutual respect for one another.
"I never get infections or scars or anything, and it doesn't bother me if it gets filled up with blood or something, but I'm concerned.","You could have a really strong immune system that helps you heal quickly, or you might have a genetic predisposition that makes you less likely to get infections or scars. Either way, it's nothing to worry about!"
I just had a horrible relapse.,I'm sorry to hear that. What happened?
"I've got so much anger. I don't know how to control myself. My girlfriend screams at me all the time, and sometime I don't know how to deal with life. I'm very depressed and angry. I feel lost.","It sounds like you are struggling to deal with a lot of anger and frustration. It's important to find ways to cope with these emotions in a healthy way, otherwise they can lead to destructive behaviors. Perhaps you could try talking to your girlfriend about your feelings, or seeking counseling to help you learn how to better deal with your anger."
"She has trouble falling and staying asleep and she's always either extremely hungry or not hungry at all. She also gets angry and feels like crying really easily for no reason. She says she is always ""kind of down.""   Is this depression? What can I do to help her?","There is a possibility that your daughter is experiencing depression, especially if she is displaying several of the symptoms you mention. Some other possible signs of depression in children include withdrawal from friends and activities, loss of interest in school, changes in eating or sleeping habits, and irritability.If you are concerned that your daughter may be depressed, it is important to talk to her and ask her how she is feeling. It is also a good idea to consult with her doctor or a mental health professional to get a more accurate diagnosis and to discuss treatment options. Treatment for depression may include medication, therapy, or a combination of both."
Online psychiastry consultation for diagnosis and prescription,Please consult with a psychiatrist for a proper evaluation and treatment plan.
Waiting to hear from a psychology centre and its kinda draining me.,"It can be really tough waiting to hear back from a psychology center, especially if you're not sure what the status of your case is. It's important to stay as patient as possible and to keep communication channels open with the center so that you can be updated on any new developments."
"I am conflicted with this guy I work with. He is a coworker and close friend whom I've had a crush on since meeting him four years ago. We made out once after years of flirting. I was hoping for more, but nothing happened. I distanced myself a lot after.","It sounds like you are conflicted because you have feelings for this guy but you are not sure if he feels the same way about you. It sounds like you made a move by kissing him, but he did not reciprocate, which may have led to you feeling disappointed and distance yourself from him.It is possible that he does not have the same level of feelings for you as you have for him. However, it is also possible that he is just hesitant to act on his feelings because he doesn't want to jeopardize your friendship. If you want to explore things further with him, you could try talking to him about your feelings and see where things go from there."
I witnessed someone getting hit by a car today,I was walking down the street when I saw someone get hit by a car. It was a really scary experience.
My thoughts feel dream like and fuzzy,"It sounds like you might be feeling a bit disoriented or out of sorts. This can happen when we are tired, stressed, or not getting enough sleep. Make sure to get enough rest and relaxation, and try to clear your mind before going to bed so that you can drift off to sleep more easily. If you find that your thoughts are still racing and you can't seem to calm down, you may want to try some relaxation techniques such as deep breathing or progressive muscle relaxation."
"When I get talked to by my dad or stepmom, or if I'm in trouble, I will begin to cry and not say what's wrong with me. When my dad or stepmom ask what is wrong, I never know the answers or the words to put together what is actually wrong with me.","It sounds like you might be feeling overwhelmed and like you can't express what's going on for you. It's okay to feel this way, and it's important to have people in your life who you can talk to about what's going on for you. Maybe you could try talking to your dad or stepmom again and see if they can help you figure out what's going on. If you're still struggling, you could also talk to a counselor or therapist, who can help you understand and manage your feelings."
"I'm fine when we start becoming intimate, but out of nowhere, I will get a flashback of what happened to me in the past. I start hysterically crying and freaking out when my boyfriend obviously has done nothing to hurt me.","There are a few possibilities as to why you might be having these types of flashbacks during intimacy with your boyfriend. It could be that you are still working through trauma from your past, and intimacy is triggering those memories. Alternatively, it could be that you don't feel safe or comfortable with your boyfriend for some reason, and the flashbacks are a way of your subconscious mind trying to protect you. If you're not sure what the cause is, it might be helpful to talk to a therapist who can help you explore the memories and figure out what might be triggering them."
"My best friend and I've been really close for almost three years. She lives in the UK, and I live in the US. Ever since her boyfriend flew from Oregon to Scotland, I've been angry at him. Ever since he came into her life, he took her away from me. My best friend would always say sorry, and I'm sick of it.","It sounds like you're feeling lonely and left out since your best friend's boyfriend came into the picture. Maybe you could try talking to her about how you're feeling and see if she's willing to make more time for you in her life. It's also possible that she's just as busy as she was before and that her relationship hasn't changed your friendship as much as you think it has. In any case, it's important to communicate with her so that you can work through these feelings together."
"My boyfriend lost his dad to suicide. He says that because his dad died, so did his heart. He says that he can't be there for me or love me anymore and wants nothing to do with me ever again. Why is he doing this when we were very happy together? He says that I have done nothing wrong but he just can't be with me.","Your boyfriend is likely going through a lot of grief and trauma after losing his father to suicide. It's understandable that he would need some time and space to process his feelings and figure out how to move forward. However, it sounds like he may be shutting you out completely, which is not healthy for either of you. It's important to talk to him about what he's feeling and see if there's any way you can support him through this difficult time."
"Something happened this summer that I cannot forgive myself for. When I think about what happened, I feel ashamed and guilty even though my loved ones forgave me.","I am truly sorry for what happened this summer. I know that I have caused pain and hurt, and I am deeply ashamed of my actions. I am grateful that my loved ones have forgiven me, but I still struggle to forgive myself. I hope that someday I can learn to do so."
Mental health tied to physical health?,"There is a strong link between mental and physical health. Poor mental health can lead to physical health problems, and vice versa. For example, anxiety and depression can lead to physical health problems such as heart disease, and physical health problems can lead to mental health problems such as anxiety and depression."
"If I tell him I don't like certain things, he does when it pertains to me. He tells me it's not like that. He never has anything to say about me until I tell him something about himself.","It sounds like your partner is very defensive and doesn't like hearing criticism, even if it's constructive. This can be a difficult trait to deal with in a relationship, as it can make communication difficult. Try to be patient and understanding with your partner, and try to find ways to gently broach the subject when you need to discuss something important."
The day you die everyone is your best friend,"This is a difficult question to answer. Some people might say that the day you die, everyone is your best friend because they are there for you during your time of need. Others might say that the day you die, everyone is your best friend because they are the ones who will remember you and your life after you are gone."
Is it possible to just have my brain scanned for every mental illness to find out what is wrong with me?,"No. While mental illness can be diagnosed through brain scans, they are not the only method of diagnosis."
All we do is argue. We never agree on anything.,I think that we should try to find some common ground and compromise more often.
been battling depression for 10 years now,"While it's difficult to offer a definitive answer to this question, it's important to remember that you're not alone in your struggle. Depression is a very common mental health condition, and there are many resources available to help you manage it. If you're feeling like you're struggling to cope, please reach out to a mental health professional for help."
"I met a guy a while ago, and I can't stop thinking about him. I feel like I love him, but I don't think I know him. What if he is not who I think he is? I cry sometimes thinking someone is going to be with him or that he has a girlfriend. I don't know, am I too obsessive? Every time we talk though, it's like magic. He makes me feel amazing, but what if I'm mistaken?","If you're feeling this way, it's important to have an honest conversation with him to see what his intentions are. It's possible that he feels the same way about you and wants to pursue a relationship, but it's also possible that he's not interested in anything more than friendship. Either way, it's important to communicate with him directly to figure out what's going on. If you find that you're not on the same page, it may be best to move on and focus on someone who is interested in the same type of relationship that you are."
"I don't have time to live or take care of myself at times. It's causing depression, stress, and anxiety. I don't know what to do.","It's important to take care of yourself both physically and mentally, and if you're finding that you're struggling to do so, it's important to seek help. If you're experiencing depression, stress, and anxiety, there are many resources available to you that can help you manage these symptoms. There are hotlines, counseling services, and support groups available to help you through difficult times. Don't hesitate to reach out for help if you need it."
I'm in a state of depression right now. Who can I talk to? I've been sick in a lot of pain and crying. Don't know where to turn.,"If you are in a state of depression, it is important to seek professional help. You can talk to your doctor, a therapist, or a counselor. These professionals can help you understand your depression and develop a treatment plan."
Paying for good GPA with suicidal ideation,"It is not uncommon for students to feel overwhelmed by the pressure to achieve academic success. For some students, the pressure to maintain a good GPA can lead to suicidal ideation. If you are feeling overwhelmed by the pressure to succeed academically, it is important to seek help from a mental health professional. There are many resources available to help you cope with the stress of academic life."
"When I ask him who he is talking to, he tells me no one. But, it sounds like he is holding a conversation with someone. I have even accused him of having a secret cell phone. I ask so much, I feel like I am losing it. Is he trying to make me question my sanity, or is he talking to himself?","There is no way to know for sure what is going on with your husband without further information. It is possible that he is talking to himself, or that he is trying to make you question your sanity. If you are concerned about his behavior, it would be best to talk to him about it directly. If he is unwilling to talk about it, you may want to consider seeking professional help to figure out what is going on."
"We went out had great sex and I was really liking her. Then one day she says we should just be friends, but I can't stop thinking about her. She's always on mind and I want her back.","There's no easy answer when it comes to getting someone back after they've said they just want to be friends. However, it sounds like you really care for this person and you may want to try reaching out to them to see if they're open to rekindling things. Be honest with them about how you're feeling and be prepared for the possibility that they may not feel the same way."
I am married to a beautiful lady. I love my wife with all my heart. We have 3 boys and I have a daughter from a previous marriage. We also have 3 grandchildren. Now this event is tearing us apart. I want our family to be together and happy. It was a mistake from so long ago. My wife wants to leave and I don't want that to happen I love her so much. Please help me save my marriage. Even my 3 boys want us to work it out. They love us both and want our family together. Please give me some advice or hope. Sincerely heart broken.,"There is no easy answer when it comes to infidelity, but it is possible to overcome this obstacle in your marriage. First and foremost, you need to be honest with your wife about your feelings and why you cheated. It is also important to be honest about your desire to save the marriage and work through this difficult time. You and your wife need to be committed to rebuilding trust and communication in order to save your marriage. If you are both willing to put in the hard work, it is possible to overcome this difficult situation."
"A year ago, the love of my life left me and never looked back. Our son was two months old at the time and it broke my heart. I miss her so much and can't seem to get over being so heartbroken.","I'm sorry to hear that you're going through such a difficult time. Losing the love of your life is never easy, and it sounds like you're still struggling to cope with your grief. It's important to give yourself time to heal and mourn your loss. Additionally, seeking counseling or therapy may be beneficial in helping you to work through your grief and begin to move on."
I'm living the dream. Why am I still struggling?,"There could be a number of reasons why you are still struggling even though you are living the dream. It could be that your dream is not as fulfilling as you thought it would be, or that you are facing challenges that you didn't expect. It is also possible that you are simply not used to living the dream yet and need some time to adjust. Whatever the reason, it is important to remember that everyone faces struggles in life, even those who seem to have it all."
How to know if your struggling with mental health without seeing a professional?,"There are a few signs that you may be struggling with your mental health, even if you haven't seen a professional. These can include feeling persistently sad or anxious, feeling disconnected from yourself or the world around you, losing interest in activities you used to enjoy, changes in your sleep or appetite, and experiencing more physical health problems. If you are struggling with your mental health, it is important to reach out for help from a professional or trusted loved one."
do I stay do I leave,"It depends on your situation. If you are happy with your current job, then you may want to stay. However, if you are unhappy with your current job, then you may want to leave."
My antidepressants helped with my mood but now I just feel unmotivated..?,"It is possible that your current antidepressant medication is not the right fit for you. It is important to talk to your doctor about any concerns you have with your medication, as they may be able to adjust your dosage or prescribe a different medication. Additionally, there are other ways to help improve your motivation levels, such as developing a regular exercise routine, setting goals, and staying organized."
my anxiety is through the roof,"There are a few things that you can do to help ease your anxiety. First, try to identify what is causing your anxiety. Once you know what is triggering your anxiety, you can begin to address it. Secondly, relaxation techniques can be helpful in managing anxiety. Try deep breathing exercises or progressive muscle relaxation. Lastly, make sure to get plenty of rest and exercise, as both of these can help reduce stress and anxiety."
I get angry and act out. It scares my wife and child.,"You might want to consider seeking out counseling or therapy to help you deal with your anger. It sounds like it is impacting your life in a negative way and causing stress for those around you. If you're not sure where to start, you could talk to your doctor or look for resources online."
"He owns his own business. Sometimes, he stays out all night but doesn't tell me. We have a son together, and I get to stay home with him. He says I complain too much about what he's doing. We've been together a year and a half. I got pregnant after being together for a month. We moved in together when I had my son in July. Everything was great, and then he started the staying out. He then started not spending time with either of us. I just don't know if I'm doing something wrong. We've talked and he says this is just how he is, but he wasn't like this before.","It sounds like your partner has changed since you had your son, and that you're feeling left out and unsupported. It's possible that he's feeling overwhelmed with the responsibility of running his own business and being a dad, and that's why he's been staying out all night. You could try talking to him again about how you're feeling and see if he's willing to make more of an effort to spend time with you and your son. If he's not willing to work on the relationship, then you may want to consider leaving him."
"My partner lives in Canada while I live in the US. We visit each other, but we go months in between visits. I have anxiety, and I'm always anxious about him cheating or still having feelings for an ex that he dated for three years. He doesn't understand my anxiety. How do I stop myself from worrying so much?","There are a few things that you can do to try and stop yourself from worrying so much about your partner cheating on you or still having feelings for an ex. First, try to communicate with your partner about your anxiety and explain to them why you are feeling this way. It may help to have a conversation about trust and what you both can do to help build trust in the relationship. Additionally, you can try to stay busy and focus on positive things in your own life to help take your mind off of your anxiety. Finally, if your anxiety is really severe, you may want to consider seeing a therapist who can help you manage your anxiety in a more constructive way."
"My friend is abusing her prescription medicine. Even though she told me she didn't have any more pills, I found she has prescriptions for anxiety medications.","If your friend is abusing her prescription medication, it is important to talk to her about it. letting her know that you are concerned and want to help her get the help she needs. Additionally, you can contact her doctor or a local drug abuse treatment center for more information and support."
I don't have someone to talk with,I'm sorry to hear that you don't have someone to talk with. Maybe you could try joining a support group or finding a therapist to talk to? I hope you find someone to confide in soon.
"He told me he started to back away because I was asking for too much in the relationship. The more I tried to fix things, the worse it got. I want to make us better again, but I don't know how.",It sounds like you're both stuck in a negative pattern of communication and it's causing a lot of tension in your relationship. It's important to try to break out of that pattern and find a more constructive way to communicate with each other. One way to do that is to make a point of listening to each other and really hearing what the other person is saying. Try to see things from their perspective and be willing to compromise. It may also be helpful to talk to a counselor or therapist who can help you both learn new communication skills.
"I don't remember when the voices in my head started, but I remember Hearing them when I was little.    I know it's not normal to hear voices that aren't your own. I fight the voices and I want them to stop. They've been here so long and I want them gone. How can I make the voices stop?","If you are hearing voices that are not your own, it is important to seek professional help. This is not something that you can simply ignore or fight against on your own. A mental health professional will be able to help you understand what is going on and provide you with the tools you need to deal with the voices."
"I like getting attention from men. I don't have sex. I lead them on to thinking I might want to. I like to tease, I like for men to chase me, and I like to feel wanted.","It sounds like you enjoy the attention and excitement that comes from being pursued by men, even though you don't ultimately want to have sex with them. This could be a fun and harmless game for you to play, as long as you are clear with the men you are interacting with that you are not interested in actually having sex. If you are leading them on and getting their hopes up without being honest about your intentions, that could hurt them emotionally and you may want to reconsider your approach."
"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?","It can be difficult to stop feeling empty or numb, especially if you have been feeling this way for a long time. However, there are some things you can do to start feeling better. First, try to connect with other people. This can be done by joining a club or group, volunteering, or simply spending time with friends and family. Additionally, you can try to engage in activities that make you feel good, such as listening to music, reading, or spending time outside. Finally, if you are struggling to cope with your feelings, you may want to consider talking to a therapist, who can help you work through your emotions."
"I have a mother who is still running my life even though I'm almost 30 years old. I want to move out and live my own life, but it feels like as long as I do what my mom wants our relationship is okay. It's never okay if I don't do what she wants.    I don't know how to start making my own decisions and not worry about whether it's right in her eyes. Would it help for me to talk to someone about this?","Yes, it would definitely help to talk to someone about this. It sounds like you are struggling with finding your own independence, and a therapist could help you explore why that is and how to start making your own decisions. If you are worried about what your mom will think, you could also talk to her about why you want to start making your own decisions and see if she is open to that."
